tiengNhat,romaji,nghia,kana,phuluc
ベトナム,betonamu,Việt Nam,ベトナム,
日本,nihon,Nhật Bản,にほん,
中国,chuugoku,Trung Quốc,ちゅうごく,
韓国,kankoku,Hàn Quốc,かんこく,
タイ,tai,Thái Lan,タイ,
～人,~jin,người ～ (tên quốc gia + じん),～じん,
ベトナム人,betonamujin,người Việt Nam,ベトナムじん,
日本人,nihonjin,người Nhật,にほんじん,
中国人,chuugokujin,người Trung Quốc,ちゅうごくじん,
韓国人,kankokujin,người Hàn Quốc,かんこくじん,
タイ人,taijin,người Thái,タイじん,
私,watashi,tôi,わたし,
医者,isha,bác sĩ,いしゃ,
教師,kyoushi,"giáo viên, giảng viên",きょうし,
先生,sensei,thầy/ cô giáo,せんせい,
銀行員,ginkouin,nhân viên ngân hàng,ぎんこういん,
会社員,kaishain,nhân viên công ty,かいしゃいん,
学生,gakusei,"học sinh, sinh viên",がくせい,
（お）名前,(o)namae,"tên, họ tên",おなまえ,
料理,ryouri,"món ăn, việc nấu ăn",りょうり,
ベトナム料理,betonamuryouri,món ăn Việt Nam,ベトナムりょうり,
日本料理,nihonryouri,món ăn Nhật Bản,にほんりょうり,
ビール,biiru,bia,ビール,
コーヒー,koohii,cà phê,コーヒー,
ジュース,juusu,nước hoa quả,ジュース,
これ,kore,cái này,これ,
それ,sore,cái đó,それ,
あれ,are,cái kia,あれ,
こちら,kochira,đây (phía này),こちら,
そちら,sochira,đó (phía đó),そちら,
あちら,achira,kia (phía kia),あちら,
はい,hai,vâng/ có,はい,
いいえ,iie,không (phủ định đơn thuần),いいえ,
いえいえ,ieie,"không sao/ không có gì (lời đáp khiêm tốn khi được xin lỗi, cảm ơn hoặc khen ngợi)",いえいえ,
おはようございます,ohayou gozaimasu,chào buổi sáng,おはようございます,
こんにちは,konnichiwa,chào buổi trưa/ chiều,こんにちは,
こんばんは,konbanwa,chào buổi tối,こんばんは,
すみません,sumimasen,① xin lỗi ② cảm ơn (khi áy náy vì làm phiền người khác),すみません,
はじめまして,hajimemashite,rất vui được gặp anh/ chị (lời chào khi lần đầu gặp mặt),はじめまして,
よろしくお願いします,yoroshiku onegaishimasu,rất mong được anh/ chị giúp đỡ,よろしくおねがいします,
そうです,sou desu,đúng vậy,そうです,
そうですか,sou desu ka,"vậy à, thế à?",そうですか,
失礼しました,shitsurei shimashita,xin lỗi (khi trót nói hoặc làm điều gì thất lễ),しつれいしました,
大丈夫です,daijoubu desu,không sao đâu,だいじょうぶです,
ええと,eeto,"ờ, ờm... (khi đang nghĩ xem nói gì tiếp)",ええと,
あっ,a,A! (khi ngạc nhiên hoặc xúc động về điều gì đó),あっ,
