tiengNhat,romaji,nghia,kana,phuluc
今,ima,bây giờ,いま,
朝,asa,"sáng sớm, buổi sáng",あさ,
夜,yoru,buổi tối,よる,
午前,gozen,A.M / sáng,ごぜん,
午後,gogo,P.M / chiều,ごご,
今日,kyou,hôm nay,きょう,
明日,ashita,ngày mai,あした,
明後日,asatte,ngày kia,あさって,
休み,yasumi,"nghỉ, không làm việc",やすみ,
（お）仕事,(o)shigoto,công việc (hỏi về công việc của đối phương thì dùng お仕事),しごと,
学校,gakkou,trường học,がっこう,
図書館,toshokan,thư viện,としょかん,
郵便局,yuubinkyoku,bưu điện,ゆうびんきょく,
病院,byouin,bệnh viện,びょういん,
銀行,ginkou,ngân hàng,ぎんこう,
会社,kaisha,công ty,かいしゃ,
漢字,kanji,chữ Hán,かんじ,
ひらがな,hiragana,chữ hiragana,ひらがな,
カタカナ,katakana,chữ katakana,カタカナ,
レストラン,resutoran,nhà hàng,レストラン,
スーパー,suupaa,siêu thị,スーパー,
フランス,furansu,nước Pháp,フランス,
～語,~go,tiếng ～ (tên quốc gia + ご),～ご,
日本語,nihongo,tiếng Nhật,にほんご,
中国語,chuugokugo,tiếng Trung,ちゅうごくご,
韓国語,kankokugo,tiếng Hàn,かんこくご,
英語,eigo,tiếng Anh (trường hợp ngoại lệ),えいご,
タイ語,taigo,tiếng Thái,タイご,
ベトナム語,betonamugo,tiếng Việt,ベトナムご,
フランス語,furansugo,tiếng Pháp,フランスご,
～時,~ji,～ giờ,～じ,
何時,nanji,mấy giờ,なんじ,
～分,~fun,～ phút (đọc ふん hoặc ぷん tuỳ số đứng trước),～ふん,
何分,nanpun,mấy phút,なんぷん,
あの（ー）,ano-,"xin lỗi, xin hỏi… (lời đánh tiếng khi gọi hoặc bắt chuyện với ai đó)",あのー,
違います,chigaimasu,"nhầm rồi, sai rồi, không phải",ちがいます,
ありがとうございます,arigatou gozaimasu,cảm ơn,ありがとうございます,
もしもし,moshimoshi,alo,もしもし,
