tiengNhat,romaji,nghia,kana,phuluc
辞書,jisho,từ điển,じしょ,
かばん,kaban,"cặp, túi",かばん,
手帳,techou,sổ tay,てちょう,
電子辞書,denshijisho,kim từ điển,でんしじしょ,
市役所,shiyakusho,toà thị chính,しやくしょ,
交番,kouban,đồn cảnh sát,こうばん,
大使館,taishikan,đại sứ quán,たいしかん,
電話番号,denwabangou,số điện thoại,でんわばんごう,
月曜日,getsuyoubi,thứ Hai,げつようび,
火曜日,kayoubi,thứ Ba,かようび,
水曜日,suiyoubi,thứ Tư,すいようび,
木曜日,mokuyoubi,thứ Năm,もくようび,
金曜日,kin'youbi,thứ Sáu,きんようび,
土曜日,doyoubi,thứ Bảy,どようび,
日曜日,nichiyoubi,Chủ nhật,にちようび,
何曜日,nan'youbi,thứ mấy,なんようび,
何,nan,cái gì,なん,
いくら,ikura,bao nhiêu tiền,いくら,
～円,~en,yên (đơn vị tiền tệ của Nhật),～えん,
～ドン,~don,đồng (đơn vị tiền tệ của Việt Nam),～ドン,
本当だ,hontou da,Đúng thật! / Thật này! (khi nhận ra lời đối phương đúng với sự thật),ほんとうだ,
じゃ,ja,"vậy thì, thế thì…",じゃ,
えっ,e,Ô! (tiếng ngạc nhiên),えっ,
ああ,aa,"à… (thán từ thể hiện sự ngại ngùng, bối rối, xấu hổ…)",ああ,
