cau,romaji,nghia
きのうは あめでした。,Kinou wa ame deshita.,Hôm qua trời mưa.
きのうは あめじゃ ありませんでした。,Kinou wa ame ja arimasen deshita.,Hôm qua trời không mưa.
おとといは いい てんきでした。,Ototoi wa ii tenki deshita.,Hôm kia trời đẹp.
しけんは かんたんでしたか。,Shiken wa kantan deshita ka.,Kỳ thi có dễ không?
…いいえ、かんたんじゃ ありませんでした。,"…Iie, kantan ja arimasen deshita.","…Không, không dễ đâu."
ホテルの へやは しずかでした。,Hoteru no heya wa shizuka deshita.,Phòng khách sạn đã rất yên tĩnh.
きょねんの なつは とても あつかったです。,Kyonen no natsu wa totemo atsukatta desu.,Mùa hè năm ngoái rất nóng.
せんしゅうは あまり さむくなかったです。,Senshuu wa amari samukunakatta desu.,Tuần trước trời không lạnh lắm.
パーティーは とても たのしかったです。,Paatii wa totemo tanoshikatta desu.,Bữa tiệc đã rất vui.
きのうの えいがは おもしろくなかったです。,Kinou no eiga wa omoshirokunakatta desu.,Bộ phim hôm qua không hay.
すき焼きは おいしかったですか。,Sukiyaki wa oishikatta desu ka.,Món sukiyaki có ngon không?
…はい、とても おいしかったです。,"…Hai, totemo oishikatta desu.","…Vâng, rất ngon."
きょうとの おまつりは どうでしたか。,Kyouto no omatsuri wa dou deshita ka.,Lễ hội ở Kyoto thế nào?
…とても にぎやかでした。,…Totemo nigiyaka deshita.,…Rất náo nhiệt.
りょこうは いかがでしたか。,Ryokou wa ikaga deshita ka.,Chuyến du lịch thế nào ạ?
…たのしかったですが、すこし つかれました。,"…Tanoshikatta desu ga, sukoshi tsukaremashita.","…Vui ạ, nhưng hơi mệt."
この かばんは あの かばんより おもいです。,Kono kaban wa ano kaban yori omoi desu.,Cái cặp này nặng hơn cái cặp kia.
しんかんせんは バスより はやいです。,Shinkansen wa basu yori hayai desu.,Tàu Shinkansen nhanh hơn xe buýt.
くうこうは えきより ずっと とおいです。,Kuukou wa eki yori zutto tooi desu.,Sân bay xa hơn hẳn nhà ga.
とうきょうは わたしの まちより にぎやかです。,Toukyou wa watashi no machi yori nigiyaka desu.,Tokyo náo nhiệt hơn thành phố của tôi.
コーヒーと こうちゃと どちらが いいですか。,Koohii to koucha to dochira ga ii desu ka.,"Cà phê và hồng trà, bạn chọn cái nào?"
…コーヒーの ほうが いいです。,…Koohii no hou ga ii desu.,…Tôi chọn cà phê.
なつと ふゆと どちらが すきですか。,Natsu to fuyu to dochira ga suki desu ka.,"Mùa hè và mùa đông, bạn thích mùa nào hơn?"
…ふゆの ほうが すきです。,…Fuyu no hou ga suki desu.,…Tôi thích mùa đông hơn.
さしみと てんぷらと どちらが おいしいですか。,Sashimi to tenpura to dochira ga oishii desu ka.,"Sashimi và tempura, món nào ngon hơn?"
…どちらも おいしいです。,…Dochira mo oishii desu.,…Món nào cũng ngon.
にほんりょうりの なかで なにが いちばん すきですか。,Nihon ryouri no naka de nani ga ichiban suki desu ka.,Trong các món ăn Nhật bạn thích món nào nhất?
…すしが いちばん すきです。,…Sushi ga ichiban suki desu.,…Tôi thích sushi nhất.
きせつの なかで いつが いちばん いいですか。,Kisetsu no naka de itsu ga ichiban ii desu ka.,"Trong các mùa, mùa nào là đẹp nhất?"
…あきが いちばん いいです。もみじが とても きれいです。,…Aki ga ichiban ii desu. Momiji ga totemo kirei desu.,…Mùa thu đẹp nhất. Lá đỏ rất đẹp.
せかいで どこが いちばん さむいですか。,Sekai de doko ga ichiban samui desu ka.,Trên thế giới nơi nào lạnh nhất?
ふゆは ゆきが おおいです。,Fuyu wa yuki ga ooi desu.,Mùa đông tuyết nhiều.
この まちは こうえんが すくないです。,Kono machi wa kouen ga sukunai desu.,Thành phố này ít công viên.
はるは あたたかいですが、あきは すずしいです。,"Haru wa atatakai desu ga, aki wa suzushii desu.","Mùa xuân thì ấm, còn mùa thu thì mát."
ぎゅうにくと ぶたにくと どちらが たかいですか。,Gyuuniku to butaniku to dochira ga takai desu ka.,"Thịt bò và thịt lợn, loại nào đắt hơn?"
…ぎゅうにくの ほうが たかいです。,…Gyuuniku no hou ga takai desu.,…Thịt bò đắt hơn.
レモンは あまくないですが、みかんは あまいです。,"Remon wa amakunai desu ga, mikan wa amai desu.","Chanh thì không ngọt, còn quýt thì ngọt."
ホンコンと シンガポールと どちらが あついですか。,Honkon to Shingapooru to dochira ga atsui desu ka.,"Hồng Kông và Singapore, nơi nào nóng hơn?"
…どちらも あついです。,…Dochira mo atsui desu.,…Nơi nào cũng nóng.
ぎおんまつりは きょうとで いちばん ゆうめいな おまつりです。,Gion-matsuri wa Kyouto de ichiban yuumei na omatsuri desu.,Lễ hội Gion là lễ hội nổi tiếng nhất ở Kyoto.
きのうの ばんごはんは とりにくの りょうりでした。,Kinou no bangohan wa toriniku no ryouri deshita.,Bữa tối hôm qua là món gà.
はじめて いけばなを ならいました。,Hajimete ikebana o naraimashita.,Tôi đã học cắm hoa lần đầu tiên.
うみは とても きれいでしたが、みずは つめたかったです。,"Umi wa totemo kirei deshita ga, mizu wa tsumetakatta desu.",Biển rất đẹp nhưng nước thì lạnh.
ただいま。,Tadaima.,Con đã về rồi.
…おかえりなさい。おまつりは どうでしたか。,…Okaerinasai. Omatsuri wa dou deshita ka.,…Mừng con về. Lễ hội thế nào?
…すごい ひとでした。でも、とても おもしろかったです。,"…Sugoi hito deshita. Demo, totemo omoshirokatta desu.",…Đông người kinh khủng. Nhưng rất thú vị.
