kanji,am_han_viet,nghia,bo_thu,am_on,am_kun
私,Tư,"tôi; riêng tư","*禾|厶",シ,わたし・わたくし
先,Tiên,"trước, đầu tiên","土|*儿",セン,さき
生,Sinh,"sinh, sống; tươi sống","*生",セイ・ショウ,い(きる)・う(まれる)・なま
学,Học,"học",⺌=ba nét nhỏ|冖|*子,ガク,まな(ぶ)
校,Hiệu,"trường học","*木|交=giao nhau",コウ,
大,Đại,"to, lớn","*大",ダイ・タイ,おお(きい)
病,Bệnh,"bệnh, ốm","*疒|丙=can Bính (thứ ba)",ビョウ,や(む)・やまい
院,Viện,"viện, cơ sở lớn có tường bao","*阝=gò đất (bộ 阜)|完=hoàn chỉnh",イン,
医,Y,"y, chữa bệnh","*匚|矢",イ,
者,Giả,"người (làm việc gì đó)","*耂=người già (bộ 老)|日",シャ,もの
教,Giáo,"dạy, giáo dục","孝=hiếu thảo (耂+子)|*攵",キョウ,おし(える)・おそ(わる)
師,Sư,"thầy; bậc thầy","𠂤=gò, đống|*巾",シ,
会,Hội,"gặp gỡ, hội họp","*人|云=mây; nói",カイ・エ,あ(う)
社,Xã,"đoàn thể, công ty; đền thần","*礻=thần linh (bộ 示)|土",シャ,やしろ
員,Viên,"thành viên, nhân viên","*口|貝",イン,
銀,Ngân,"bạc; ngân hàng","*金|艮",ギン,
行,Hành/Hàng,"đi; hàng lối; nhà băng","*彳|亍=bước chân phải",コウ・ギョウ,い(く)・おこな(う)
研,Nghiên,"mài giũa, nghiên cứu","*石|幵=bằng phẳng",ケン,と(ぐ)
究,Cứu,"tìm tòi đến cùng","*穴|九=số chín",キュウ,きわ(める)
誰,Thùy,"ai","*言|隹",スイ,だれ
歳,Tuế,"tuổi; năm","*止|戌=chi Tuất (con chó)|小",サイ・セイ,とし
何,Hà,"gì, nào","*亻|可=có thể",カ,なに・なん
韓,Hàn,"nước Hàn","倝=mặt trời mọc|*韋",カン,
国,Quốc,"nước, quốc gia","*囗|玉",コク,くに
中,Trung,"giữa, trong","*丨|口",チュウ,なか
日,Nhật,"ngày; mặt trời","*日",ニチ・ジツ,ひ・か
本,Bản,"gốc; sách; bản thân","*木|一",ホン,もと
失,Thất,"mất, đánh mất","*大|丿",シツ,うしな(う)
礼,Lễ,"lễ nghi, phép lịch sự","*礻=thần linh (bộ 示)|乚=nét móc (bộ 乙)",レイ・ライ,
名,Danh,"tên","夕|*口",メイ・ミョウ,な
前,Tiền,"trước, phía trước","䒑=hai nét trên|月|*刂",ゼン,まえ
来,Lai,"đến, tới","*木|丷=hai nét chấm|一",ライ,く(る)・きた(る)
願,Nguyện,"cầu mong, thỉnh cầu","原=nguồn, gốc (厂+泉)|*頁",ガン,ねが(う)
人,Nhân,"người","*人",ジン・ニン,ひと
方,Phương,"phía, phương; vị (lịch sự)","*方",ホウ,かた
辞,Từ,"lời, từ ngữ; từ chối","舌|*辛",ジ,や(める)
書,Thư,"viết; sách","聿=cây bút|*曰",ショ,か(く)
雑,Tạp,"lẫn lộn, tạp nham","九=số chín|木|*隹",ザツ・ゾウ,
誌,Chí,"ghi chép; tạp chí","*言|志=chí hướng (士+心)",シ,
新,Tân,"mới","立|木|*斤",シン,あたら(しい)・あら(た)
聞,Văn,"nghe; hỏi","門|*耳",ブン・モン,き(く)・きこ(える)
鉛,Duyên,"chì","*金|八|口",エン,なまり
筆,Bút,"cây bút; nét bút","*⺮|聿=cây bút",ヒツ,ふで
鍵,Kiện,"chìa khóa; phím","*金|建=dựng, xây",ケン,かぎ
時,Thời,"thời gian, giờ","*日|寺=ngôi chùa",ジ,とき
計,Kế,"tính toán; đo đếm","*言|十",ケイ,はか(る)
傘,Tản,"cái ô, cái dù","*人|十",サン,かさ
車,Xa,"xe","*車",シャ,くるま
机,Kỷ,"cái bàn","*木|几",キ,つくえ
椅,Ỷ,"cái ghế","*木|奇=lạ, khác thường",イ,
子,Tử,"con; đứa trẻ","*子",シ・ス,こ
英,Anh,"tinh hoa; nước Anh","*艹|央=ở giữa",エイ,
語,Ngữ,"lời nói, ngôn ngữ","*言|吾=ta, tôi (五+口)",ゴ,かた(る)
室,Thất,"căn phòng","*宀|至",シツ,むろ
食,Thực,"ăn; thức ăn","*食",ショク,た(べる)・く(う)
堂,Đường,"nhà lớn, sảnh","尚=chuộng; còn|*土",ドウ,
部,Bộ,"bộ phận; phòng ban","咅=chia ra|*阝=làng (bộ 邑)",ブ,
屋,Ốc,"nhà; tiệm ~","*尸=mái nhà|至",オク,や
手,Thủ,"bàn tay","*手",シュ,て
洗,Tẩy,"rửa, giặt","*氵=nước (bộ 水)|先=trước",セン,あら(う)
階,Giai,"tầng; bậc","*阝=gò đất (bộ 阜)|皆=tất cả, đều",カイ,
段,Đoạn,"bậc; đoạn","厂=sườn núi|*殳",ダン,
電,Điện,"điện; sét","*雨|电=tia chớp",デン,
話,Thoại,"nói chuyện; câu chuyện","*言|舌",ワ,はな(す)・はなし
靴,Ngoa,"giày","*革|化=biến hóa",カ,くつ
百,Bách,"trăm","一|*白",ヒャク,
千,Thiên,"nghìn","*十|丿",セン,ち
万,Vạn,"mười nghìn; vạn","*一|丿",マン・バン,
催,Thôi,"tổ chức; thúc giục","*亻|崔=cao vòi vọi (山+隹)",サイ,もよお(す)
物,Vật,"vật, đồ","*牛|勿=chớ, đừng",ブツ・モツ,もの
場,Trường,"nơi, chỗ, bãi","*土|昜=mặt trời mọc",ジョウ,ば
眼,Nhãn,"mắt","*目|艮",ガン,まなこ
鏡,Kính,"gương; kính","*金|竟=trọn, cuối cùng",キョウ,かがみ
用,Dụng,"dùng; công dụng","*用",ヨウ,もち(いる)
品,Phẩm,"món đồ; phẩm chất","*口|口|口",ヒン,しな
旅,Lữ,"đi xa, du lịch","*方|从=hai người đi theo",リョ,たび
供,Cung,"cung cấp; đi cùng","*亻|共=cùng nhau",キョウ,そな(える)・とも
服,Phục,"quần áo; phục tùng","*月|卩=người quỳ|又",フク,
文,Văn,"chữ viết, văn","*文",ブン・モン,ふみ
房,Phòng,"buồng, phòng","*戸|方",ボウ,ふさ
具,Cụ,"dụng cụ, đồ dùng","目|*八",グ,
家,Gia,"nhà; gia đình","*宀|豕=con lợn",カ・ケ,いえ・や
器,Khí,"đồ dùng, dụng cụ","*口|犬",キ,うつわ
化,Hóa,"biến hóa, biến thành","*亻|匕",カ,ば(ける)
製,Chế,"chế tạo","制=chế định, khống chế|*衣",セイ,
紳,Thân,"đai lưng; quý ông","*糸|申=trình bày; chi Thân",シン,
士,Sĩ,"kẻ sĩ; người có học","*士",シ,
婦,Phụ,"phụ nữ; vợ","*女|帚=cái chổi",フ,
粧,Trang,"trang điểm","*米|庄=trang trại",ショウ,
駐,Trú,"đỗ, đóng lại","*馬|主=chủ",チュウ,
