jp,romaji,vi
ごはんを たべます。,Gohan o tabemasu.,Tôi ăn cơm.
ジュースを のみます。,Juusu o nomimasu.,Tôi uống nước ép.
たばこを すいます。,Tabako o suimasu.,Tôi hút thuốc lá.
まいあさ パンを たべます。,Maiasa pan o tabemasu.,Sáng nào tôi cũng ăn bánh mì.
なにを たべますか。,Nani o tabemasu ka.,Bạn ăn gì?
…さかなを たべます。,…Sakana o tabemasu.,…Tôi ăn cá.
なにを のみますか。,Nani o nomimasu ka.,Bạn uống gì?
…おちゃを のみます。,…Ocha o nomimasu.,…Tôi uống trà.
なにを しますか。,Nani o shimasu ka.,Bạn làm gì?
…しゅくだいを します。,…Shukudai o shimasu.,…Tôi làm bài tập về nhà.
えいがを みます。,Eiga o mimasu.,Tôi xem phim.
おんがくを ききます。,Ongaku o kikimasu.,Tôi nghe nhạc.
てがみを かきます。,Tegami o kakimasu.,Tôi viết thư.
しゃしんを とります。,Shashin o torimasu.,Tôi chụp ảnh.
なにも たべません。,Nani mo tabemasen.,Tôi không ăn gì cả.
なにも しませんでした。,Nani mo shimasen deshita.,Tôi đã không làm gì cả.
レストランで ばんごはんを たべます。,Resutoran de bangohan o tabemasu.,Tôi ăn cơm tối ở nhà hàng.
みせで くだものを かいます。,Mise de kudamono o kaimasu.,Tôi mua trái cây ở cửa hàng.
がっこうで にほんごを べんきょうします。,Gakkou de nihongo o benkyou shimasu.,Tôi học tiếng Nhật ở trường.
どこで しゃしんを とりますか。,Doko de shashin o torimasu ka.,Bạn chụp ảnh ở đâu?
…おおさかじょうこうえんで とります。,…Oosakajoukouen de torimasu.,…Tôi chụp ở công viên lâu đài Osaka.
いっしょに ばんごはんを たべませんか。,Isshoni bangohan o tabemasen ka.,Cùng đi ăn cơm tối không?
…ええ、いいですね。,"…Ee, ii desu ne.","…Vâng, hay quá."
いっしょに テニスを しましょう。,Isshoni tenisu o shimashou.,Cùng chơi quần vợt nào.
ちょっと やすみましょう。,Chotto yasumimashou.,Nghỉ một chút nào.
あした おはなみを しませんか。,Ashita ohanami o shimasen ka.,Ngày mai đi ngắm hoa anh đào không?
…いいですね。じゃ、また あした。,"…Ii desu ne. Ja, mata ashita.",…Hay đấy. Vậy hẹn gặp lại ngày mai.
ともだちに あいます。,Tomodachi ni aimasu.,Tôi gặp bạn.
ときどき えいがを みます。,Tokidoki eiga o mimasu.,Thỉnh thoảng tôi xem phim.
ばんごはんを たべます。それから、テレビを みます。,"Bangohan o tabemasu. Sorekara, terebi o mimasu.",Tôi ăn cơm tối. Sau đó xem tivi.
