tiengNhat,romaji,nghia,kana
机,tsukue,cái bàn (làm việc),つくえ
椅子,isu,cái ghế,いす
本棚,hondana,giá sách,ほんだな
棚,tana,cái kệ,たな
ベッド,beddo,giường,ベッド
枕,makura,cái gối,まくら
布団,futon,"chăn, nệm (futon)",ふとん
電気,denki,đèn điện,でんき
時計,tokei,đồng hồ,とけい
鏡,kagami,cái gương,かがみ
ほうき,houki,cái chổi,ほうき
ごみ箱,gomibako,thùng rác,ごみばこ
花瓶,kabin,lọ hoa,かびん
カーテン,kaaten,rèm cửa,カーテン
冷蔵庫,reizouko,tủ lạnh,れいぞうこ
洗濯機,sentakuki,máy giặt,せんたくき
掃除機,soujiki,máy hút bụi,そうじき
電子レンジ,denshirenji,lò vi sóng,でんしレンジ
エアコン,eakon,máy lạnh,エアコン
扇風機,senpuuki,quạt máy,せんぷうき
テレビ,terebi,tivi,テレビ
電話,denwa,điện thoại,でんわ
傘,kasa,cái ô,かさ
鍵,kagi,chìa khóa,かぎ
財布,saifu,cái ví,さいふ
眼鏡,megane,kính (mắt),めがね
せっけん,sekken,xà phòng,せっけん
タオル,taoru,khăn,タオル
