tiengNhat,romaji,nghia,kana
車,kuruma,xe ô tô,くるま
電車,densha,tàu điện,でんしゃ
地下鉄,chikatetsu,tàu điện ngầm,ちかてつ
新幹線,shinkansen,tàu cao tốc Shinkansen,しんかんせん
バス,basu,xe buýt,バス
タクシー,takushii,taxi,タクシー
自転車,jitensha,xe đạp,じてんしゃ
バイク,baiku,xe máy,バイク
オートバイ,ootobai,mô tô,オートバイ
飛行機,hikouki,máy bay,ひこうき
船,fune,tàu thuyền,ふね
トラック,torakku,xe tải,トラック
救急車,kyuukyuusha,xe cứu thương,きゅうきゅうしゃ
消防車,shoubousha,xe cứu hỏa,しょうぼうしゃ
パトカー,patokaa,xe cảnh sát,パトカー
ヘリコプター,herikoputaa,trực thăng,ヘリコプター
駅,eki,nhà ga,えき
空港,kuukou,sân bay,くうこう
港,minato,cảng,みなと
バス停,basutei,bến xe buýt,バスてい
切符,kippu,vé,きっぷ
改札,kaisatsu,cửa soát vé,かいさつ
信号,shingou,đèn tín hiệu,しんごう
道,michi,con đường,みち
橋,hashi,cây cầu,はし
交差点,kousaten,ngã tư,こうさてん
運転手,untenshu,tài xế,うんてんしゅ
駐車場,chuushajou,bãi đỗ xe,ちゅうしゃじょう
