tiengNhat,romaji,nghia,kana
先生,sensei,giáo viên (kính ngữ),せんせい
教師,kyoushi,giáo viên (nghề),きょうし
医者,isha,bác sĩ,いしゃ
看護師,kangoshi,y tá,かんごし
会社員,kaishain,nhân viên công ty,かいしゃいん
公務員,koumuin,công chức,こうむいん
銀行員,ginkouin,nhân viên ngân hàng,ぎんこういん
店員,ten'in,nhân viên bán hàng,てんいん
警察官,keisatsukan,cảnh sát,けいさつかん
消防士,shouboushi,lính cứu hỏa,しょうぼうし
弁護士,bengoshi,luật sư,べんごし
学生,gakusei,"học sinh, sinh viên",がくせい
主婦,shufu,nội trợ,しゅふ
コック,kokku,đầu bếp,コック
農家,nouka,nông dân,のうか
漁師,ryoushi,ngư dân,りょうし
歌手,kashu,ca sĩ,かしゅ
俳優,haiyuu,diễn viên,はいゆう
画家,gaka,họa sĩ,がか
作家,sakka,nhà văn,さっか
記者,kisha,phóng viên,きしゃ
エンジニア,enjinia,kỹ sư,エンジニア
大工,daiku,thợ mộc,だいく
美容師,biyoushi,thợ làm tóc,びようし
パイロット,pairotto,phi công,パイロット
デザイナー,dezainaa,nhà thiết kế,デザイナー
社長,shachou,giám đốc công ty,しゃちょう
通訳,tsuuyaku,thông dịch viên,つうやく
