tiengNhat,romaji,nghia,kana
日本,nihon,Nhật Bản,にほん
ベトナム,betonamu,Việt Nam,ベトナム
アメリカ,amerika,Mỹ,アメリカ
イギリス,igirisu,Anh (quốc gia),イギリス
中国,chuugoku,Trung Quốc,ちゅうごく
韓国,kankoku,Hàn Quốc,かんこく
フランス,furansu,Pháp,フランス
ドイツ,doitsu,Đức,ドイツ
スペイン,supein,Tây Ban Nha,スペイン
イタリア,itaria,Ý,イタリア
ロシア,roshia,Nga,ロシア
タイ,tai,Thái Lan,タイ
インド,indo,Ấn Độ,インド
ブラジル,burajiru,Brazil,ブラジル
オーストラリア,oosutoraria,Úc,オーストラリア
日本語,nihongo,tiếng Nhật,にほんご
ベトナム語,betonamugo,tiếng Việt,ベトナムご
英語,eigo,tiếng Anh,えいご
中国語,chuugokugo,tiếng Trung,ちゅうごくご
韓国語,kankokugo,tiếng Hàn,かんこくご
フランス語,furansugo,tiếng Pháp,フランスご
ドイツ語,doitsugo,tiếng Đức,ドイツご
スペイン語,supeingo,tiếng Tây Ban Nha,スペインご
イタリア語,itariago,tiếng Ý,イタリアご
ロシア語,roshiago,tiếng Nga,ロシアご
タイ語,taigo,tiếng Thái,タイご
アラビア語,arabiago,tiếng Ả Rập,アラビアご
ポルトガル語,porutogarugo,tiếng Bồ Đào Nha,ポルトガルご
