tiengNhat,romaji,nghia,kana
あたま,atama,đầu,あたま
かお,kao,mặt,かお
め,me,mắt,め
みみ,mimi,tai,みみ
はな,hana,mũi,はな
くち,kuchi,miệng,くち
は,ha,răng,は
くび,kubi,cổ,くび
かた,kata,vai,かた
せなか,senaka,lưng,せなか
おなか,onaka,bụng,おなか
て,te,tay,て
ゆび,yubi,ngón tay,ゆび
あし,ashi,chân,あし
むね,mune,ngực,むね
からだ,karada,cơ thể,からだ
びょうき,byouki,bệnh,びょうき
かぜ,kaze,cảm cúm,かぜ
ねつ,netsu,sốt,ねつ
せき,seki,ho,せき
けが,kega,vết thương,けが
くすり,kusuri,thuốc,くすり
びょういん,byouin,bệnh viện,びょういん
いしゃ,isha,bác sĩ,いしゃ
げんき,genki,khỏe mạnh,げんき
いたい,itai,đau,いたい
だいじょうぶ,daijoubu,"không sao, ổn",だいじょうぶ
